admin_request_id,created_at,completed_at,user_email,category,priority,status,subject,description
ADM-30000,2025-10-12 01:03:55,2024-11-17 01:25:36,staff529@novaedge.com,Travel Request,High,Completed,Request to restock A4 paper and markers for the office.,Request to restock A4 paper and markers for the office.
ADM-30001,2025-06-30 01:35:38,,staff817@novaedge.com,Stationery,High,Assigned,"Visitor incoming: Mr. Lee on 2025-12-10 for interview, needs access ca","Visitor incoming: Mr. Lee on 2025-12-10 for interview, needs access card."
ADM-30002,2024-12-14 22:30:14,2025-05-29 08:07:13,staff814@novaedge.com,Asset Request,High,Cancelled,"Visitor incoming: Mr. Lee on 2025-12-07 for interview, needs access ca","Visitor incoming: Mr. Lee on 2025-12-07 for interview, needs access card."
ADM-30003,2025-06-03 13:50:49,,staff632@novaedge.com,Badge Access,High,Assigned,Book meeting room A for 2025-12-19 10:00-11:00 for client meeting.,Book meeting room A for 2025-12-19 10:00-11:00 for client meeting.
ADM-30004,2025-09-13 22:31:44,,staff123@novaedge.com,Asset Request,Medium,Assigned,Request to restock A4 paper and markers for the office.,Request to restock A4 paper and markers for the office.
ADM-30005,2025-07-01 00:37:53,2025-03-23 13:23:22,staff617@novaedge.com,Stationery,High,Cancelled,Request to restock A4 paper and markers for the office.,Request to restock A4 paper and markers for the office.
ADM-30006,2025-03-17 21:40:13,,staff559@novaedge.com,Meeting Room Booking,High,Open,Book meeting room A for 2025-12-04 10:00-11:00 for client meeting.,Book meeting room A for 2025-12-04 10:00-11:00 for client meeting.
ADM-30007,2025-07-17 14:43:23,,staff458@novaedge.com,Visitor Request,High,Assigned,Travel request: approval for client visit to London next month.,Travel request: approval for client visit to London next month.
ADM-30008,2025-04-28 23:57:18,,staff207@novaedge.com,Travel Request,Medium,Assigned,"Visitor incoming: Mr. Garcia on 2025-12-05 for interview, needs access","Visitor incoming: Mr. Garcia on 2025-12-05 for interview, needs access card."
ADM-30009,2025-10-04 11:32:40,2025-05-07 00:10:48,staff948@novaedge.com,Visitor Request,High,Cancelled,Book meeting room A for 2025-12-11 10:00-11:00 for client meeting.,Book meeting room A for 2025-12-11 10:00-11:00 for client meeting.
ADM-30010,2025-08-25 10:42:27,2025-09-28 11:03:09,staff793@novaedge.com,Badge Access,Low,Completed,Requesting an additional monitor for staff793@novaedge.com.,Requesting an additional monitor for staff793@novaedge.com.
ADM-30011,2025-01-05 20:40:32,2024-12-30 13:48:32,staff550@novaedge.com,Asset Request,Medium,Cancelled,New badge access required for Staff 375 to enter building after hours.,New badge access required for Staff 375 to enter building after hours.
ADM-30012,2025-04-29 09:47:26,,staff821@novaedge.com,Travel Request,Medium,Assigned,Travel request: approval for client visit to Mumbai next month.,Travel request: approval for client visit to Mumbai next month.
ADM-30013,2024-12-28 06:59:34,,staff672@novaedge.com,Meeting Room Booking,High,Assigned,New badge access required for Staff 309 to enter building after hours.,New badge access required for Staff 309 to enter building after hours.
